2025-12-22 22:04:55|SỬA|Cảng Hoàng Diệu (CT) → XM Kiên Lương|173 km|Chỉnh lại|Cũ: 189,Cảng Hoàng Diệu (CT),Nhà máy xi măng Kiên Lương,173
2025-12-22 22:06:27|SỬA|NM Nhiêt điên SH (HG) → XM Kiên Lương|196 km|Chỉnh lại|Cũ: 217,NM Nhiêt điên SH (HG),Nhà máy xi măng Kiên Lương,196
2025-12-22 22:07:17|SỬA|Bình Minh (Vĩnh Long) → XM Kiên Lương|165 km|Chỉnh lại|Cũ: 251,Bình Minh (Vĩnh Long),Nhà máy xi măng Kiên Lương,165
2025-12-22 22:09:00|SỬA|Fico Hiệp Phước → XM Kiên Lương|322 km|Chỉnh lại|Cũ: 290,Fico Hiệp Phước,Nhà máy xi măng Kiên Lương,322
2025-12-22 22:10:42|SỬA|Cảng Hoàng Sơn Lâm (VC-ĐT) → XM Kiên Lương|134 km|Chỉnh lại|Cũ: 193,Cảng Hoàng Sơn Lâm (VC-ĐT),Nhà máy xi măng Kiên Lương,134
2025-12-22 22:11:56|SỬA|Cảng Bờ Sông AHT (ST) → XM Kiên Lương|197 km|Chỉnh lại|Cũ: 281,Cảng Bờ Sông AHT (ST),Nhà máy xi măng Kiên Lương,197
2025-12-22 22:13:38|SỬA|Cảng Hoàng Sơn Lâm (VC) → Cảng Hoàng Diệu (CT)|36 km|Chỉnh lại|Cũ: 190,Cảng Hoàng Sơn Lâm (VC-ĐT),Cảng Hoàng Diệu (CT),36
2025-12-22 22:14:25|SỬA|Cảng Hoàng Sơn Lâm (VC) → NM Nhiêt điên SH (HG)|57 km|Chỉnh lại|Cũ: 191,Cảng Hoàng Sơn Lâm (VC-ĐT),NM Nhiêt điên SH (HG),57
2025-12-22 22:15:06|SỬA|Cảng Hoàng Sơn Lâm (VC) → Vĩnh Xương (AG)|87 km|Chỉnh lại|Cũ: 192,Cảng Hoàng Sơn Lâm (VC-ĐT),Vĩnh Xương (AG),87
2025-12-22 22:15:38|SỬA|Cảng Hoàng Sơn Lâm (VC) → XM Kiên Lương|134 km|Chỉnh lại|Cũ: 193,Cảng Hoàng Sơn Lâm (VC-ĐT),XM Kiên Lương,134
2025-12-22 22:17:10|SỬA|Cảng Hoàng Sơn Lâm (VC) → Ụ Thiện Chiến (Bến Tre)|154 km|Chỉnh lại|Cũ: 194,Cảng Hoàng Sơn Lâm (VC-ĐT),Ụ Thiện Chiến (Bến Tre),154
2025-12-22 22:18:21|SỬA|Cảng Hoàng Sơn Lâm (VC) → Cảng Long Thuận (ĐN)|243 km|Chỉnh lại|Cũ: 195,Cảng Hoàng Sơn Lâm (VC-ĐT),Cảng Long Thuận (ĐN),243
2025-12-22 22:19:07|SỬA|Cảng Hoàng Sơn Lâm (VC) → Cái Sắn(CT)|2 km|Chỉnh lại|Cũ: 242,Cảng Hoàng Sơn Lâm (VC-ĐT),Cái Sắn(CT),2
2025-12-22 22:20:06|SỬA|XM Kiên Lương → Phao BP12 (Nhà Bè)|327 km|Chỉnh lại|Cũ: 284,Nhà máy xi măng Kiên Lương,Phao BP12 (Nhà Bè),327
2025-12-22 23:22:03|THÊM|TN Long An → Phao SSV01 (Nhà Bè)|81 km|Không có lý do
2025-12-22 23:27:41|THÊM|Phao SSV01 (Nhà Bè) → TN Phú Hữu|15 km|Không có lý do
2025-12-22 23:43:03|THÊM|TN Phú Hữu → TN Phú Hữu (Chuyển tải tàu biển)|11 km|Không có lý do
2025-12-27 21:13:48|THÊM|XM Hạ Long (HP) → C.Thường Tân (BD)|92 km|Không có lý do
2025-12-27 21:15:13|THÊM|C.Thường Tân (BD) → XM Kiên Lương|414 km|Không có lý do
2025-12-27 21:20:07|SỬA|XM Hạ Long (HP) → Cảng Thường Tân (BD)|92 km|Chỉnh lại|Cũ: 315,XM Hạ Long (HP),C.Thường Tân (BD),92
2025-12-27 21:20:35|SỬA|Cảng Thường Tân (BD) → XM Kiên Lương|414 km|Chỉnh lại|Cũ: 316,C.Thường Tân (BD),XM Kiên Lương,414
2025-12-27 21:56:01|THÊM|BMT Cần Thơ (Cái Cui) → XM Kiên Lương|185 km|Không có lý do
2025-12-28 21:53:02|THÊM|Cảng Quốc Hằng (ĐN) → BMT Long Xuyên (Thốt Nốt)|280 km|Không có lý do
2025-12-28 22:32:31|THÊM|BMT Long Xuyên (Thốt Nốt) → XM Kiên Lương|136 km|Không có lý do
2025-12-28 22:50:37|THÊM|Cảng Quốc Hằng (ĐN) → Cảng Toàn Tâm (Cần Thơ) Cái Cui|241 km|Không có lý do
2025-12-28 22:51:20|THÊM|Cảng Toàn Tâm (Cần Thơ) Cái Cui → XM Kiên Lương|185 km|Không có lý do
2026-01-05 23:13:44|THÊM|Tuấn An Phú (BD) → Phao Nhà Bè|65 km|Không có lý do
2026-01-05 23:19:56|THÊM|Phao Nhà Bè → Cảng Long Thuận (ĐN)|7 km|Không có lý do
2026-01-05 23:24:12|THÊM|Cảng Long Thuận (ĐN) → Tuấn An Phú (BD)|72 km|Không có lý do
2026-01-05 23:25:08|THÊM|Tuấn An Phú (BD) → XM Hạ Long (HP)|70 km|Không có lý do
2026-01-06 12:41:39|THÊM|Cầu Đồng Nai → Tuấn An Phú (BD)|12 km|Không có lý do
2026-01-06 13:18:14|THÊM|Ụ Trần Hiên → Lung Lớn|12 km|Không có lý do
2026-01-07 22:14:21|SỬA|Cảng Bến Nghé-> Phú Hữu (Lãnh vật tư) → Cảng Long Thuận (ĐN)|40 km|Chỉnh lại|Cũ: 301,Cảng Bến Nghé-> Phú Hữu (Lãnh vật tư),Cảng Long Thuận (ĐN),30
2026-01-07 22:20:03|SỬA|Cầu Đồng Nai → Tuấn An Phú (BD)|23 km|Chỉnh lại|Cũ: 326,Cầu Đồng Nai,Tuấn An Phú (BD),12
2026-01-07 22:21:29|SỬA|Ụ Trần Hiên → Lung Lớn|20 km|Chỉnh lại|Cũ: 327,Ụ Trần Hiên,Lung Lớn,12
2026-01-07 23:12:46|THÊM|XM Kiên Lương → Phao 04 SR (QX)|309 km|Không có lý do
2026-01-07 23:15:27|SỬA|XM Kiên Lương → Phao SR04 (QX)|309 km|Chỉnh lại|Cũ: 328,XM Kiên Lương,Phao 04 SR (QX),309
2026-01-08 23:23:37|THÊM|Tuấn An Phú (BD) → Phao BP11 (Nhà Bè)|65 km|Không có lý do
2026-01-08 23:28:28|THÊM|Phao BP11 (Nhà Bè) → TN Phú Hữu|15 km|Không có lý do
2026-01-08 23:36:16|THÊM|Fico Hiệp Phước → Phao SR4 (QX)|13 km|Không có lý do
2026-01-12 22:44:43|THÊM|Vĩnh Xương (AG) → Cảng Gò Dầu B|307 km|Không có lý do
2026-01-12 22:48:45|THÊM|Cảng Gò Dầu B → Cảng AHT (Bình Dương)|140 km|Không có lý do
2026-01-12 22:49:31|THÊM|Cảng AHT (Bình Dương) → Cảng Quốc Hằng (ĐN)|111 km|Không có lý do
2026-01-13 23:35:09|THÊM|TN Phú Hữu → Cảng  PTSC (Thị Vải)|60 km|Không có lý do
2026-01-13 23:37:05|THÊM|Cảng PTSC (Thị Vải) → Cảng Tuệ Minh (Thường Tân)|126 km|Không có lý do
2026-01-14 21:57:43|SỬA|Cảng Rạch Chiếc → Cảng Tổng Hợp (Thị Vải)|75 km|Chỉnh lại|Cũ: 8,Cảng Rạch Chiếc,Cảng Tổng Hợp Thị Vải,75
2026-01-14 21:58:37|SỬA|Cảng Long Hậu (Long An) → Cảng Tổng Hợp (Thị Vải)|54 km|Chỉnh lại|Cũ: 20,Cảng Long Hậu (Long An),Cảng Tổng Hợp Thị Vải,54
2026-01-14 21:59:13|SỬA|Tuấn An Phú (BD) → Cảng Tổng Hợp (Thị Vải)|110 km|Chỉnh lại|Cũ: 30,Tuấn An Phú (BD),Cảng Tổng Hợp Thị Vải,110
